First Name,Last Name,Email,Phone
,Shelby,,111111111
Mayra,,,111111111
Ely,Estrella,,111111111
Ely,Estrella,test@test.com,12345
Dalton,Bernal,what@test.com,123456781
Mayra,Estrella,ely.bernal@test.com,123456789
Dalton,Shelby,mayraestrella@test.com,1112223333
Ely,Bernal,what@test.com,22222222
Mayra,Shelby,mayraestrella@test.com,12345
Dalton,Bernal,mayraestrella@test.com,1112223333
Mayra,Bernal,,123456781
Mayra,Shelby,what@test.com,111111111
Dalton,Bernal,ely.bernal@test.com,33333333
,Bernal,daltonshelby@test.com,22222222
,Shelby,daltonshelby@test.com,123456781
Dalton,Bernal,ely.bernal@test.com,33333333
Mayra,Shelby,daltonshelby@test.com,33333333
,Estrella,ely.bernal@test.com,123456781
Mayra,Bernal,what@test.com,111111111
Mayra,,ely.bernal@test.com,123456781
Ely,Bernal,,1112223333
Ely,Shelby,what@test.com,22222222
Dalton,Estrella,what@test.com,1112223333
Dalton,Estrella,,33333333
Dalton,,test@test.com,123456781
Mayra,Estrella,daltonshelby@test.com,123456789
Dalton,Shelby,emma@test.com,123456781
Dalton,Bernal,emma@test.com,22222222
Ely,Estrella,what@test.com,1112223333
Ely,,test@test.com,123456781
Ely,Estrella,,33333333
Ely,Shelby,ely.bernal@test.com,1112223333
Ely,,daltonshelby@test.com,33333333
Mayra,Estrella,,123456789
Mayra,Estrella,emma@test.com,22222222
,,ely.bernal@test.com,123456781
Ely,Estrella,what@test.com,123456781
Ely,Shelby,test@test.com,12345
Mayra,Estrella,emma@test.com,1112223333
Ely,,what@test.com,111111111
Ely,Shelby,,1112223333
Mayra,Estrella,emma@test.com,12345
Mayra,Bernal,mayraestrella@test.com,123456781
Dalton,Shelby,what@test.com,1112223333
Mayra,Shelby,what@test.com,22222222
Dalton,Shelby,ely.bernal@test.com,123456789
,,test@test.com,33333333
Ely,Shelby,what@test.com,33333333
,Shelby,what@test.com,111111111
Ely,Bernal,daltonshelby@test.com,12345
,Shelby,mayraestrella@test.com,22222222
,Estrella,ely.bernal@test.com,22222222
Ely,Shelby,ely.bernal@test.com,111111111
Mayra,Bernal,,1112223333
,Shelby,mayraestrella@test.com,123456789
,,what@test.com,123456789
,Shelby,ely.bernal@test.com,123456789
Dalton,Shelby,,123456789
,Bernal,mayraestrella@test.com,123456781
Dalton,Bernal,ely.bernal@test.com,33333333
Mayra,Bernal,test@test.com,111111111
,Bernal,test@test.com,111111111
Dalton,Bernal,daltonshelby@test.com,123456789
Mayra,,emma@test.com,123456781
Dalton,Estrella,mayraestrella@test.com,33333333
Ely,,test@test.com,33333333
Dalton,Bernal,ely.bernal@test.com,22222222
,Bernal,,123456781
,,what@test.com,111111111
Mayra,,what@test.com,123456789
Dalton,,mayraestrella@test.com,22222222
Ely,Shelby,ely.bernal@test.com,12345
Dalton,Shelby,daltonshelby@test.com,22222222
,Bernal,what@test.com,111111111
,Bernal,,111111111
Dalton,Bernal,emma@test.com,22222222
Mayra,,,33333333
Mayra,Estrella,what@test.com,1112223333
Dalton,Shelby,test@test.com,1112223333
,Bernal,ely.bernal@test.com,123456789
Dalton,Bernal,emma@test.com,111111111
Ely,,mayraestrella@test.com,22222222
,,mayraestrella@test.com,1112223333
,Bernal,,22222222
,Estrella,what@test.com,33333333
,,test@test.com,111111111
Mayra,Estrella,ely.bernal@test.com,123456789
Dalton,Shelby,daltonshelby@test.com,22222222
Mayra,Estrella,,22222222
,,emma@test.com,22222222
,Bernal,ely.bernal@test.com,12345
Mayra,Shelby,what@test.com,123456789
Mayra,Shelby,ely.bernal@test.com,111111111
Ely,Shelby,ely.bernal@test.com,111111111
Mayra,Shelby,daltonshelby@test.com,33333333
Dalton,Bernal,daltonshelby@test.com,123456789
Ely,Estrella,what@test.com,12345
Mayra,Shelby,emma@test.com,1112223333
,Shelby,mayraestrella@test.com,123456781
Dalton,Shelby,emma@test.com,123456789
Mayra,Shelby,emma@test.com,22222222
Mayra,Estrella,daltonshelby@test.com,12345
Ely,Bernal,mayraestrella@test.com,111111111
Ely,Bernal,emma@test.com,111111111
Ely,Shelby,daltonshelby@test.com,1112223333
Mayra,Bernal,what@test.com,22222222
Ely,Shelby,mayraestrella@test.com,123456781
Dalton,Bernal,emma@test.com,12345
Dalton,Estrella,,1112223333
Dalton,Shelby,emma@test.com,123456781
Ely,,emma@test.com,123456781
Mayra,Shelby,mayraestrella@test.com,111111111
Dalton,Shelby,ely.bernal@test.com,1112223333
,,daltonshelby@test.com,1112223333
Mayra,Bernal,daltonshelby@test.com,12345
Mayra,Bernal,mayraestrella@test.com,12345
Mayra,Estrella,ely.bernal@test.com,123456789
,Bernal,emma@test.com,22222222
Ely,Bernal,what@test.com,12345
,Bernal,emma@test.com,22222222
Dalton,,what@test.com,111111111
Dalton,Estrella,mayraestrella@test.com,123456781
Ely,Shelby,mayraestrella@test.com,22222222
,Bernal,emma@test.com,33333333
